2014_murders,2015_murders
211,344
411,478
242,303
63,120
105,162
90,145
248,280
78,109
41,72
159,188
45,73
56,81
31,53
260,282
116,136
333,352
15,32
31,47
32,48
28,43
12,26
47,61
150,164
30,43
11,24
12,25
23,36
21,34
136,148
93,104
46,55
26,34
45,53
60,66
28,34
17,22
20,25
122,127
80,85
32,37
11,16
14,18
23,26
24,27
13,16
54,56
17,19
0,2
93,94
3,4
96,97
16,17
26,27
1,1
4,4
49,49
24,24
7,6
114,112
12,10
32,30
298,295
26,23
21,17
35,31
13,8
20,15
140,135
19,14
83,77
21,15
14,8
7,1
81,75
18,12
31,24
47,39
32,23
103,94
27,17
69,57
53,38
60,41
